Shop Name,Address,City,State,Zip,Phone,Dealer Rating,Source
Burbank Sportscards,935 N Hollywood Way,Burbank,CA,91505,818-843-2600,4.87,Beckett Marketplace
Medina Sportscards & Collectibles,110 W. Washington St.,Medina,OH,44256,330-725-2273,4.98,Beckett Marketplace
The DugoutZone,9011 Chevrolet Drive Suite 14,Ellicott City,MD,21042,410-461-8664,4.96,Beckett Marketplace
GamesandCards.com,1716 Colorado Blvd,Eagle Rock,CA,90041,323-341-5600,5.00,Beckett Marketplace
Woody's Sports Cards,19916 Old Owen Road #160,Monroe,WA,98272,425-471-8837,4.82,Beckett Marketplace
"Wonder Water Sports Cards, Comics & Gaming!",29113 US Hwy 19 North,Clearwater,FL,33761,727-799-4855,5.00,Beckett Marketplace
"7th Inning Stretch: Sportscards, Comics & Gaming",P.O. Box 214,Cosby,TN,37722,352-362-7411,4.96,Beckett Marketplace
"1,000,000 Baseball Cards",14560 Manchester Rd #23,Manchester,MO,63011,636-527-4424,4.69,Beckett Marketplace
Southpaw Cards,1774 Partridge Place,Centerville,MN,55038,651-336-1620,4.97,Beckett Marketplace
Jim & Steve's Sportscard Shop,3500 Grand Ave,Gurnee,IL,60031,847-244-1981,4.64,Beckett Marketplace
AU Sports Memorabilia Inc.,6006 Dempster St,Morton Grove,IL,60053,847-647-8311,4.94,Beckett Marketplace
Mac's Collectibles,913 E Redwood St,Springfield,MO,65807,417-234-5136,3.15,Beckett Marketplace
Steve Taft,2898 Carbon Court,Sparks,NV,89436,775-432-2645,5.00,Beckett Marketplace
Bakersfield.cards,1201 20th Street,Bakersfield,CA,93301,661-323-3900,4.88,Beckett Marketplace
Ziggy's Eastpointe Sportscards,6834-A Wales Crossing St. N.W.,North Canton,OH,44720,330-324-1140,4.73,Beckett Marketplace
The Collector's Friend,528 3rd Ave Ext,Rensselaer,NY,12144,518-238-3818,4.83,Beckett Marketplace
Big Mac Sportscards,6112 Scott St,Davenport,IA,52806,563-386-0876,4.84,Beckett Marketplace
Triple I Sportscards Inc,1729 5th Ave,Moline,IL,61265,309-764-4631,4.86,Beckett Marketplace
Card Shack,9 Atlantic Ave,Lynbrook,NY,11563,516-561-5100,4.88,Beckett Marketplace
ChicagoCards.com,163 East 4th Street Unit D,Pittsburg,CA,94565,630-618-9938,4.96,Beckett Marketplace
Triple Play Sports Cards,3816 S Western Ave,Sioux Falls,SD,57105,605-332-4815,4.94,Beckett Marketplace
Baseball Card Connection,313 W Jefferson Avenue,Effingham,IL,62401,217-342-2539,4.91,Beckett Marketplace
The Dugout Sportscards & Comics,49 Neuchatel Lane,Fairport,NY,14450,585-766-0227,5.00,Beckett Marketplace
Superior Sports Investments,2201 Brookhollow Plaza Dr #145,Arlington,TX,76006,682-706-8990,4.40,Beckett Marketplace
Card Gallery,P.O. Box 1024,Rockville Centre,NY,11571,516-462-9780,4.95,Beckett Marketplace
Three Stars Sportscards,8806 Lyndale Ave. S.,Bloomington,MN,55420,952-513-7166,4.98,Beckett Marketplace
The FairField Company,4330 Golden Road,McKean,PA,16426,814-825-1033,5.00,Beckett Marketplace
Simicards,PO Box 941264,Simi Valley,CA,93094,818-404-4465,4.98,Beckett Marketplace
Diamonds in the Rough,7360 SW Bonita Rd Suite B,Tigard,OR,97224,503-747-3176,2.80,Beckett Marketplace
DRTrading Card,20 Willow Cove Rd.,Valdosta,GA,31602,229-300-8876,4.98,Beckett Marketplace
TemDee,5051 Rt 42,Turnersville,NJ,08012,856-472-4325,3.40,Beckett Marketplace
Forest Hill Sportscards & Collectibles,504 Westwell Lane,Bel Air,MD,21014,410-888-8888,5.00,Beckett Marketplace
Josing4 Cards,341 Kendall St.,Burlington,WI,53105,262-720-5830,4.96,Beckett Marketplace
Cardboard Heroes Sportscards,PO Box 21,Rineyville,KY,40162,573-433-5185,4.93,Beckett Marketplace
Birmingham Sports Cards,210 1st St North,Alabaster,AL,35007,205-369-1973,4.99,Beckett Marketplace
Mojo Sportscards,131 W Avenida De Las Flores,Thousand Oaks,CA,91360,805-796-1182,4.11,Beckett Marketplace
Rich 'N Deals,268 E Currahee St,Toccoa,GA,30577,706-963-9018,4.99,Beckett Marketplace
